web-scraper-order,web-scraper-start-url,firstLetters,firstLetters-href,testNames
"1522321830-1434","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dental Lasers (Lasers in Dental Care)"
"1522321733-1136","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","N","https://www.medicinenet.com/procedures_and_tests/alpha_n.htm","Natural Methods of Birth Control"
"1522321742-1163","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","M","https://www.medicinenet.com/procedures_and_tests/alpha_m.htm","Medication Infusion (IV Drug Infusion FAQs)"
"1522321678-901","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","TIPS (Transjugular Intrahepatic Portosystemic Shunt)"
"1522321715-1069","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Photorefractive Keratectomy"
"1522321845-1485","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Cervista HPV Test"
"1522321749-1198","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","LAVH (Laparoscopically Assisted Vaginal Hysterectomy)"
"1522321678-909","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Total Hip Replacement"
"1522321715-1119","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","PUVA Therapy (Photochemotherapy)"
"1522321777-1253","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","I","https://www.medicinenet.com/procedures_and_tests/alpha_i.htm","Implantable Cardiac Defibrillator"
"1522321715-1110","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Proton Beam Therapy of Liver"
"1522321715-1103","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","PRK (Photorefractive Keratectomy)"
"1522321788-1308","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","H","https://www.medicinenet.com/procedures_and_tests/alpha_h.htm","Hysterectomy"
"1522321830-1442","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dermagraphics (Permanent Makeup (Micropigmentation))"
"1522321725-1133","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","Ovulation Indicator Testing Kits (Natural Methods of Birth Control)"
"1522321845-1515","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Collagen and Injectable Fillers"
"1522321688-967","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Sodium (Electrolytes)"
"1522321725-1128","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","O","https://www.medicinenet.com/procedures_and_tests/alpha_o.htm","Oral Surgery"
"1522321715-1115","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Pulmonic Heart Valve Replacement (Heart Valve Disease Treatment)"
"1522321749-1193","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Laser Resurfacing"
"1522321749-1221","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","LTK Laser Eye Surgery"
"1522321860-1670","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Antinuclear Antibody"
"1522321860-1676","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","Arrhythmia Treatment (Ablation Therapy for Arrhythmias)"
"1522321852-1616","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Brain Wave Test (EEG - Electroencephalogram)"
"1522321830-1459","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dual X-ray Absorptometry (Bone Density Scan)"
"1522321852-1583","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Birth Control Pills (Hormonal Methods of Birth Control)"
"1522321822-1365","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Electrolytes"
"1522321715-1101","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Prevention of Flu During Pregnancy (Pregnancy Flu Shot Side Effects and Safety)"
"1522321715-1080","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","P","https://www.medicinenet.com/procedures_and_tests/alpha_p.htm","Pneumococcal Immunization (Pneumococcal Vaccination)"
"1522321822-1410","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","ET (Hormone Therapy)"
"1522321860-1650","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","A","https://www.medicinenet.com/procedures_and_tests/alpha_a.htm","ALK (Keratoplasty Eye Surgery (ALK))"
"1522321678-917","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Transcutaneous Electrical Nerve Stimulation"
"1522321852-1581","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Biotherapy (Biological Therapy)"
"1522321822-1407","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","ESR (Sedimentation Rate)"
"1522321649-827","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","W","https://www.medicinenet.com/procedures_and_tests/alpha_w.htm","Womb Biopsy (Endometrial Biopsy)"
"1522321642-819","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","X","https://www.medicinenet.com/procedures_and_tests/alpha_x.htm","X-ray Esophagus, Stomach, Duodenum (Upper GI Series)"
"1522321649-829","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","W","https://www.medicinenet.com/procedures_and_tests/alpha_w.htm","Wound Closures (Stitches)"
"1522321678-874","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Test for Lactose Intolerance (Lactose Tolerance Test)"
"1522321688-983","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Stool Acidity Test"
"1522321822-1387","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Epidural Steroid Injection"
"1522321688-1006","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","S","https://www.medicinenet.com/procedures_and_tests/alpha_s.htm","Surgical Options for Epilepsy"
"1522321678-879","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","T","https://www.medicinenet.com/procedures_and_tests/alpha_t.htm","Test, GERD (Esophageal pH Monitoring)"
"1522321749-1185","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","L","https://www.medicinenet.com/procedures_and_tests/alpha_l.htm","Lamaz Technique for Childbirth (Childbirth Class Options)"
"1522321852-1627","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Breastfeeding"
"1522321852-1636","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","B","https://www.medicinenet.com/procedures_and_tests/alpha_b.htm","Bypass, Stomach (Gastric Bypass Surgery)"
"1522321830-1437","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","D","https://www.medicinenet.com/procedures_and_tests/alpha_d.htm","Dental Veneers"
"1522321822-1392","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","E","https://www.medicinenet.com/procedures_and_tests/alpha_e.htm","Epilepsy Treatment"
"1522321845-1528","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Conization, Cervix (Colposcopy)"
"1522321845-1470","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","C","https://www.medicinenet.com/procedures_and_tests/alpha_c.htm","Carcinoembryonic Antigen"
"1522321777-1259","https://www.medicinenet.com/procedures_and_tests/alpha_z.htm","I","https://www.medicinenet.com/procedures_and_tests/alpha_i.htm","Instructions for Sinus Surgery (Sinus Surgery)"
